acao,id,nome,ref,detalhe
merge,888,Ana Lúcia Cerávolo,3707,Ana Lucia Ceravolo
merge,1278,José Simões de Belmont Pessôa,3458,José Simões de Belmont Pessoa
merge,1978,Aracelly Moreira Magalhães,3020,Aracelly Moreira Magalhaes
merge,2890,Joaquim dos Anjos Araújo,3024,Joaquim dos Anjos Araujo
merge,3498,Marta Bogéa,3726,Marta Bogea
orcid_removido,738,Maria Isabel Imbronito,0000-0001-7394-3809,perfil=maria isabel imbrunito
orcid_removido,3643,Arthur Prates,0000-0002-1443-8607,perfil=maria pronin
orcid_removido,3628,Pilar Tejero Baeza,0000-0002-1848-7705,perfil=rani silva
orcid_removido,3770,Thais Saboia Martins,0000-0002-3950-0454,perfil=luana espig regiani
orcid_removido_p2,771,Ana Paula Garcia Spolo,0000-0001-7125-5877,dono=Ana Paula Garcia Spolon
orcid_removido_p2,2666,Naylor Villas Boas,0000-0001-8099-7952,dono=Naylor Vilas Boas
orcid_removido_p2,3567,Thiago Thamay,0000-0002-0629-9408,dono=Arthur Thiago Thamay Medeiros
orcid_removido_p2,2786,Natália Miranda Vieira,0000-0002-4756-9822,dono=Natália Miranda Vieira-de-Araújo
orcid_removido_p2,3660,Gustavo Pires de Andrade Neto,0009-0001-0088-5465,dono=Monaliza Cristina Gonçalves
orcid_removido_p2,3646,Tamiris de Oliveira Machado,0009-0004-5885-9325,dono=Yuri Cristiano Berrido Gheler
orcid_removido_p2,3785,Bruno Juliani Mentone,0009-0009-6527-142X,dono=Emanuella Kashiwakura
variant_merge,392,Naylor Vilas Boas,2666,Naylor Villas Boas
variant_merge,1373,Ana Paula Garcia Spolon,771,Ana Paula Garcia Spolo
variant_merge,116,Arthur Thiago Thamay Medeiros,3567,Thiago Thamay
variant_merge,1923,Natália Miranda Vieira-de-Araújo,2786,Natália Miranda Vieira
variant_merge,738,Maria Isabel Imbronito,3711,Maria Isabel Imbrunito
orcid_removido_llm,76,Emanuelle Albuquerque de Oliveira,0000-0002-3863-7491,filosofia/IFPB (Emanuelle Beserra)
orcid_removido_llm,371,Daniela Ribeiro,0000-0002-3886-5304,tomografia ocular (Douglas Ribeiro)
orcid_removido_llm,475,Hugo Mondragón,0000-0002-3958-3261,ciência de alimentos (Necoechea-Mondragon)
orcid_removido_llm,512,Macarena Cortés,0000-0002-5074-2198,pedagogia/flamenco Sevilla (Cortés-Vázquez)
orcid_removido_llm,566,Alexandre Bataioli da Silva,0000-0002-5714-8992,saúde/envelhecimento FMJ
orcid_removido_llm,801,Maria Cristina Wolff de Carvalho,0000-0002-2267-0676,eng. eletrônica UnB (Matheus Carvalho)
orcid_removido_llm,849,Francesco Perrotta-Bosch,0000-0001-6329-9773,médico anestesista Itália (Francesco Perrotta)
orcid_removido_llm,1026,Julia Andrade,0009-0000-5286-8387,nome divergente s/ suporte (Júlia Moura)
orcid_removido_llm,1320,Carolina Costa,0000-0001-7571-9341,letras/literatura (Carolina Veloso)
orcid_removido_llm,1596,Ramón Mª Puig,0000-0002-8018-2232,enfermagem Valência (Camaño-Puig)
orcid_removido_llm,2556,Marcia Cristina Ribeiro Gonçalves Nunes,0000-0002-5506-8155,oncologia (Castanhole-Nunes)
orcid_removido_llm,2773,Priscila Gonçalves Santos,0000-0001-5844-696X,fitoquímica (Priscilla Santana)
orcid_removido_llm,2853,Débora Costa,0000-0001-7617-4945,pesquisa de câncer EUA (Vendramini-Costa)
orcid_removido_llm,3101,Rosana da Silva Santos,0000-0002-3950-8157,crítica literária (Rosana Kamita)
orcid_removido_llm,3329,Samir Santos da Conceição,0000-0003-3578-1655,linguística (Selma Cruz Santos)
orcid_removido_llm,3600,Victor Oliveira,0000-0002-1117-8264,energia (Vitor Reginaldo)
orcid_removido_llm,3706,Vanessa Borges Brasileiro,0000-0002-4625-5709,eng. naval (Yuri Duarte)
orcid_removido_llm,3789,Letícia Aguiar,0000-0002-3239-2980,educação SC (Leonete Schmidt)
orcid_removido_llm,1060,Jean Pierre de Moraes Crété,0000-0002-4378-2087,mecânica Paris (Jean-Philippe Crété)
orcid_removido_llm,1428,Carmen Alvarez,0000-0002-8160-2286,educación Cantabria (Álvarez-Álvarez)
orcid_removido_llm,2687,Olívia Vigneron Medeiros,0000-0002-4217-2914,história/educação UFRN (Medeiros-Neta)
orcid_removido_llm,714,Paulo Sergio Barbaro del Negro,0009-0004-1190-5072,economia Nova Lisboa (Côrte-Real)
orcid_removido_llm,800,Pedro Cardoso Smith,0000-0002-9667-6851,fundo marinho (Pedro Menandro)
orcid_removido_llm,835,Andrés Téllez,0000-0003-3721-5630,eletrônica IPN México (Calvillo-Téllez)
orcid_removido_llm,1955,Vitor Lessa Maciel,0000-0002-3288-9604,eng. ambiental RJ (Vitor Rodrigues)
orcid_removido_llm,2779,Patricia Carneiro de Menezes,0000-0001-7993-1921,história da arte renascentista Unicamp (Dalcanale Meneses)
orcid_removido_llm,3756,João Marcos Pires,0000-0003-4121-4251,design IFB (Michel Camargo)
orcid_removido_llm,237,Marcieli Coradin,0000-0001-6100-2016,nome totalmente diverso (Dienifer Vieira)
orcid_removido_llm,693,Luisa Gertrudis Durán Rocca,0000-0002-5115-8532,sobrenomes distintos (Rocca-Vite ≠ Durán Rocca)
orcid_removido_llm,3750,Nicolás Sica Palermo,0000-0003-0680-7684,pessoa diversa (Guilherme Feijó)
